Period,Coal,"Petroleum
Liquids","Petroleum
Coke","Natural
Gas","Other
Gas",Nuclear,"Hydroelectric
Conventional",Solar,"Renewable
Sources
Excluding
Hydroelectric and Solar","Hydroelectric
Pumped
Storage",Other,Total Generation at Utility Scale Facilities,Estimated Small Scale Solar Photovoltaic Generation,Estimated Total Solar Photovoltaic Generation,Estimated Total Solar Generation
2006,48.97%,1.09%,0.48%,20.09%,0.35%,19.37%,7.12%,0.01%,2.36%,-0.16%,0.32%,4064702,N/A,N/A,N/A
2007,48.51%,1.19%,0.39%,21.57%,0.32%,19.40%,5.95%,0.01%,2.52%,-0.17%,0.29%,4156745,N/A,N/A,N/A
2008,48.21%,0.77%,0.35%,21.43%,0.28%,19.57%,6.19%,0.02%,3.04%,-0.15%,0.29%,4119388,N/A,N/A,N/A
2009,44.45%,0.66%,0.33%,23.31%,0.27%,20.22%,6.92%,0.02%,3.63%,-0.12%,0.30%,3950331,N/A,N/A,N/A
2010,44.78%,0.57%,0.33%,23.94%,0.27%,19.56%,6.31%,0.03%,4.02%,-0.13%,0.31%,4125060,N/A,N/A,N/A
2011,42.28%,0.39%,0.34%,24.72%,0.28%,19.27%,7.79%,0.04%,4.69%,-0.16%,0.35%,4100141,N/A,N/A,N/A
2012,37.40%,0.33%,0.24%,30.29%,0.29%,19.01%,6.82%,0.11%,5.29%,-0.12%,0.34%,4047765,N/A,N/A,N/A
2013,38.89%,0.34%,0.33%,27.66%,0.32%,19.41%,6.61%,0.22%,6.01%,-0.12%,0.33%,4065964,N/A,N/A,N/A
2014,38.64%,0.45%,0.29%,27.52%,0.29%,19.47%,6.34%,0.43%,6.39%,-0.15%,0.33%,4093606,11233,26482,28924
2015,33.17%,0.43%,0.27%,32.70%,0.32%,19.55%,6.11%,0.61%,6.63%,-0.12%,0.34%,4077601,14139,35805,39032
2016,30.40%,0.31%,0.28%,33.84%,0.32%,19.74%,6.52%,0.90%,7.51%,-0.16%,0.34%,4078670,19467,,
